,Fragments,ObjValNoPen,ObjValWithPen
0,"['frag_02_c00001', 'frag_15_c00001']",14941.03753282359,14941.03753282359
1,"['frag_02_c00001', 'frag_15_c00001']",14941.03753282359,14941.03753282359
2,"['frag_02_c00001', 'frag_15_c00001']",14941.03753282359,14941.03753282359
3,"['frag_02_c00001', 'frag_15_c00001']",14941.03753282359,14941.03753282359
4,"['frag_02_c00001', 'frag_16_c00001']",16189.235113640818,14941.03753282359
5,"['frag_02_c00001', 'frag_16_c00001']",16189.235113640818,16189.235113640818
6,"['frag_02_c00001', 'frag_16_c00001']",16189.235113640818,16189.235113640818
7,"['frag_02_c00001', 'frag_16_c00001']",16189.235113640818,16189.235113640818
8,"['frag_03_c00001', 'frag_15_c00001']",16768.14801683368,16189.235113640818
9,"['frag_03_c00001', 'frag_15_c00001']",16768.14801683368,16768.14801683368
10,"['frag_03_c00001', 'frag_15_c00001']",16768.148016833686,16768.14801683368
11,"['frag_03_c00001', 'frag_15_c00001']",16768.148016833686,16768.148016833686
12,"['frag_03_c00001', 'frag_16_c00001']",18015.16804964858,16768.148016833686
13,"['frag_03_c00001', 'frag_16_c00001']",18015.16804964858,18015.16804964858
14,"['frag_03_c00001', 'frag_16_c00001']",18015.16804964858,18015.16804964858
15,"['frag_03_c00001', 'frag_16_c00001']",18015.16804964858,18015.16804964858
16,"['frag_04_c00001', 'frag_15_c00001']",19796.155046790263,18015.16804964858
17,"['frag_04_c00001', 'frag_15_c00001']",19796.155046790263,19796.155046790263
18,"['frag_04_c00001', 'frag_15_c00001']",19796.155046790263,19796.155046790263
19,"['frag_04_c00001', 'frag_15_c00001']",19796.155046790263,19796.155046790263
20,"['frag_04_c00001', 'frag_16_c00001']",21041.81784958364,19796.155046790263
21,"['frag_04_c00001', 'frag_16_c00001']",21041.81784958364,21041.81784958364
22,"['frag_04_c00001', 'frag_16_c00001']",21041.817849583655,21041.81784958364
23,"['frag_04_c00001', 'frag_16_c00001']",21041.817849583655,21041.817849583655
24,"['frag_06_c00001', 'frag_13_c00001']",24373.091333806507,21041.817849583655
25,"['frag_06_c00001', 'frag_13_c00001']",24373.091333806507,24373.091333806507
26,"['frag_06_c00001', 'frag_13_c00001']",24373.091333806507,24373.091333806507
27,"['frag_06_c00001', 'frag_13_c00001']",24373.091333806507,24373.091333806507
28,"['frag_05_c00001', 'frag_13_c00001']",26948.46379074883,24373.091333806507
29,"['frag_05_c00001', 'frag_13_c00001']",26948.46379074883,26948.46379074883
30,"['frag_05_c00001', 'frag_13_c00001']",26948.46379074883,26948.46379074883
31,"['frag_05_c00001', 'frag_13_c00001']",26948.46379074883,26948.46379074883
32,"['frag_01_c00001', 'frag_02_c00001', 'frag_13_c00001']",27967.334526206127,26948.46379074883
33,"['frag_01_c00001', 'frag_02_c00001', 'frag_13_c00001']",27967.334526206127,27967.334526206127
34,"['frag_01_c00001', 'frag_02_c00001', 'frag_13_c00001']",27967.334526206127,27967.334526206127
35,"['frag_01_c00001', 'frag_02_c00001', 'frag_13_c00001']",27967.334526206127,27967.334526206127
36,"['frag_01_c00001', 'frag_02_c00001', 'frag_13_c00001']",27967.334526206127,27967.334526206127
37,"['frag_01_c00001', 'frag_02_c00001', 'frag_13_c00001']",27967.334526206127,27967.334526206127
38,"['frag_01_c00001', 'frag_02_c00001', 'frag_13_c00001']",27967.334526206127,27967.334526206127
39,"['frag_01_c00001', 'frag_02_c00001', 'frag_13_c00001']",27967.334526206127,27967.334526206127
40,"['frag_06_c00001', 'frag_14_c00001']",28646.572412525456,27967.334526206127
41,"['frag_06_c00001', 'frag_14_c00001']",28646.572412525456,28646.572412525456
42,"['frag_06_c00001', 'frag_14_c00001']",28646.572412525456,28646.572412525456
43,"['frag_06_c00001', 'frag_14_c00001']",28646.572412525456,28646.572412525456
44,"['frag_01_c00001', 'frag_02_c00001', 'frag_14_c00001']",31296.291720291912,28646.572412525456
45,"['frag_01_c00001', 'frag_02_c00001', 'frag_14_c00001']",31296.291720291912,31296.291720291912
46,"['frag_01_c00001', 'frag_02_c00001', 'frag_14_c00001']",31296.291720291912,31296.291720291912
47,"['frag_01_c00001', 'frag_02_c00001', 'frag_14_c00001']",31296.291720291912,31296.291720291912
48,"['frag_01_c00001', 'frag_02_c00001', 'frag_14_c00001']",31296.291720291912,31296.291720291912
49,"['frag_01_c00001', 'frag_02_c00001', 'frag_14_c00001']",31296.291720291912,31296.291720291912
50,"['frag_01_c00001', 'frag_02_c00001', 'frag_14_c00001']",31296.291720291912,31296.291720291912
51,"['frag_01_c00001', 'frag_02_c00001', 'frag_14_c00001']",31296.291720291912,31296.291720291912
52,"['frag_01_c00001', 'frag_03_c00001', 'frag_13_c00001']",32075.33737323815,31296.291720291912
53,"['frag_01_c00001', 'frag_03_c00001', 'frag_13_c00001']",32075.33737323815,32075.33737323815
54,"['frag_01_c00001', 'frag_03_c00001', 'frag_13_c00001']",32075.33737323815,32075.33737323815
55,"['frag_01_c00001', 'frag_03_c00001', 'frag_13_c00001']",32075.33737323815,32075.33737323815
56,"['frag_01_c00001', 'frag_03_c00001', 'frag_13_c00001']",32075.33737323815,32075.33737323815
57,"['frag_01_c00001', 'frag_03_c00001', 'frag_13_c00001']",32075.33737323815,32075.33737323815
58,"['frag_01_c00001', 'frag_03_c00001', 'frag_13_c00001']",32075.33737323815,32075.33737323815
59,"['frag_01_c00001', 'frag_03_c00001', 'frag_13_c00001']",32075.33737323815,32075.33737323815
60,"['frag_05_c00001', 'frag_14_c00001']",32526.14197451865,32075.33737323815
61,"['frag_05_c00001', 'frag_14_c00001']",32526.14197451865,32526.14197451865
62,"['frag_05_c00001', 'frag_14_c00001']",32526.14197451865,32526.14197451865
63,"['frag_05_c00001', 'frag_14_c00001']",32526.14197451865,32526.14197451865
64,"['frag_01_c00001', 'frag_01_c00001', 'frag_15_c00001']",33119.30184730529,32526.14197451865
65,"['frag_01_c00001', 'frag_01_c00001', 'frag_15_c00001']",33119.30184730529,33119.30184730529
66,"['frag_07_c00001', 'frag_13_c00001']",43186.175564509605,33119.30184730529
67,"['frag_07_c00001', 'frag_13_c00001']",43186.175564509605,33186.175564509605
68,"['frag_07_c00001', 'frag_13_c00001']",43186.175564509605,33186.175564509605
69,"['frag_07_c00001', 'frag_13_c00001']",43186.175564509605,33186.175564509605
70,"['frag_07_c00001', 'frag_11_c00001']",33366.10043276882,33186.175564509605
71,"['frag_07_c00001', 'frag_11_c00001']",33366.10043276882,33366.10043276882
72,"['frag_07_c00001', 'frag_11_c00001']",33366.10043276882,33366.10043276882
73,"['frag_07_c00001', 'frag_11_c00001']",33366.10043276882,33366.10043276882
74,"['frag_07_c00001', 'frag_12_c00001']",33569.25701588917,33366.10043276882
75,"['frag_07_c00001', 'frag_12_c00001']",33569.25701588917,33569.25701588917
76,"['frag_07_c00001', 'frag_12_c00001']",33569.25701588917,33569.25701588917
77,"['frag_07_c00001', 'frag_12_c00001']",33569.25701588917,33569.25701588917
78,"['frag_09_c00001', 'frag_12_c00001']",33844.972411613366,33569.25701588917
79,"['frag_09_c00001', 'frag_12_c00001']",33844.972411613366,33844.972411613366
80,"['frag_09_c00001', 'frag_12_c00001']",33844.972411613366,33844.972411613366
81,"['frag_09_c00001', 'frag_12_c00001']",33844.972411613366,33844.972411613366
82,"['frag_06_c00001', 'frag_15_c00001']",44290.8521741901,33844.972411613366
83,"['frag_06_c00001', 'frag_15_c00001']",44290.8521741901,34290.8521741901
84,"['frag_06_c00001', 'frag_15_c00001']",44290.85217419011,34290.8521741901
85,"['frag_06_c00001', 'frag_15_c00001']",44290.85217419011,34290.85217419011
86,"['frag_09_c00001', 'frag_11_c00001']",34326.774013953946,34290.85217419011
87,"['frag_09_c00001', 'frag_11_c00001']",34326.774013953946,34326.774013953946
88,"['frag_09_c00001', 'frag_11_c00001']",34326.77401395396,34326.774013953946
89,"['frag_09_c00001', 'frag_11_c00001']",34326.77401395396,34326.77401395396
90,"['frag_01_c00001', 'frag_01_c00001', 'frag_16_c00001']",34373.07642443063,34326.77401395396
91,"['frag_01_c00001', 'frag_01_c00001', 'frag_16_c00001']",34373.07642443063,34373.07642443063
92,"['frag_09_c00001', 'frag_13_c00001']",44419.470284984105,34373.07642443063
93,"['frag_09_c00001', 'frag_13_c00001']",44419.470284984105,34419.470284984105
94,"['frag_09_c00001', 'frag_13_c00001']",44419.47028498412,34419.470284984105
95,"['frag_09_c00001', 'frag_13_c00001']",44419.47028498412,34419.47028498412
96,"['frag_02_c00001', 'frag_02_c00001', 'frag_12_c00001']",34861.07022258659,34419.47028498412
97,"['frag_02_c00001', 'frag_02_c00001', 'frag_12_c00001']",34861.07022258659,34861.07022258659
98,"['frag_02_c00001', 'frag_02_c00001', 'frag_11_c00001']",34904.73133701353,34861.07022258659
99,"['frag_02_c00001', 'frag_02_c00001', 'frag_11_c00001']",34904.73133701353,34904.73133701353
100,"['frag_02_c00001', 'frag_02_c00001', 'frag_13_c00001']",45296.45784870201,34904.73133701353
101,"['frag_02_c00001', 'frag_02_c00001', 'frag_13_c00001']",45296.45784870201,35296.45784870201
102,"['frag_01_c00001', 'frag_03_c00001', 'frag_14_c00001']",35348.828516437476,35296.45784870201
103,"['frag_01_c00001', 'frag_03_c00001', 'frag_14_c00001']",35348.828516437476,35348.828516437476
104,"['frag_01_c00001', 'frag_03_c00001', 'frag_14_c00001']",35348.828516437476,35348.828516437476
105,"['frag_01_c00001', 'frag_03_c00001', 'frag_14_c00001']",35348.828516437476,35348.828516437476
106,"['frag_01_c00001', 'frag_03_c00001', 'frag_14_c00001']",35348.828516437476,35348.828516437476
107,"['frag_01_c00001', 'frag_03_c00001', 'frag_14_c00001']",35348.828516437476,35348.828516437476
108,"['frag_01_c00001', 'frag_03_c00001', 'frag_14_c00001']",35348.828516437476,35348.828516437476
109,"['frag_01_c00001', 'frag_03_c00001', 'frag_14_c00001']",35348.828516437476,35348.828516437476
110,"['frag_06_c00001', 'frag_16_c00001']",45477.38354919064,35348.828516437476
111,"['frag_06_c00001', 'frag_16_c00001']",45477.38354919064,35477.38354919064
112,"['frag_06_c00001', 'frag_16_c00001']",45477.38354919064,35477.38354919064
113,"['frag_06_c00001', 'frag_16_c00001']",45477.38354919064,35477.38354919064
114,"['frag_01_c00001', 'frag_02_c00001', 'frag_15_c00001']",45765.11407114304,35477.38354919064
115,"['frag_01_c00001', 'frag_02_c00001', 'frag_15_c00001']",45765.11407114304,35765.11407114304
116,"['frag_01_c00001', 'frag_02_c00001', 'frag_15_c00001']",45765.11407114304,35765.11407114304
117,"['frag_01_c00001', 'frag_02_c00001', 'frag_15_c00001']",45765.11407114304,35765.11407114304
118,"['frag_01_c00001', 'frag_02_c00001', 'frag_15_c00001']",45765.114071143056,35765.11407114304
119,"['frag_01_c00001', 'frag_02_c00001', 'frag_15_c00001']",45765.114071143056,35765.114071143056
120,"['frag_01_c00001', 'frag_02_c00001', 'frag_15_c00001']",45765.114071143056,35765.114071143056
121,"['frag_01_c00001', 'frag_02_c00001', 'frag_15_c00001']",45765.114071143056,35765.114071143056
122,"['frag_08_c00001', 'frag_13_c00001']",46427.71114022009,35765.114071143056
123,"['frag_08_c00001', 'frag_13_c00001']",46427.71114022009,36427.71114022009
124,"['frag_08_c00001', 'frag_13_c00001']",46427.71114022009,36427.71114022009
125,"['frag_08_c00001', 'frag_13_c00001']",46427.71114022009,36427.71114022009
126,"['frag_10_c00001', 'frag_13_c00001']",46815.12861043543,36427.71114022009
127,"['frag_10_c00001', 'frag_13_c00001']",46815.12861043543,36815.12861043543
128,"['frag_10_c00001', 'frag_13_c00001']",46815.12861043543,36815.12861043543
129,"['frag_10_c00001', 'frag_13_c00001']",46815.12861043543,36815.12861043543
130,"['frag_08_c00001', 'frag_11_c00001']",36883.606004847235,36815.12861043543
131,"['frag_08_c00001', 'frag_11_c00001']",36883.606004847235,36883.606004847235
132,"['frag_08_c00001', 'frag_11_c00001']",36883.606004847235,36883.606004847235
133,"['frag_08_c00001', 'frag_11_c00001']",36883.606004847235,36883.606004847235
134,"['frag_01_c00001', 'frag_02_c00001', 'frag_16_c00001']",47013.311651960285,36883.606004847235
135,"['frag_01_c00001', 'frag_02_c00001', 'frag_16_c00001']",47013.311651960285,37013.311651960285
136,"['frag_01_c00001', 'frag_02_c00001', 'frag_16_c00001']",47013.311651960285,37013.311651960285
137,"['frag_01_c00001', 'frag_02_c00001', 'frag_16_c00001']",47013.311651960285,37013.311651960285
138,"['frag_01_c00001', 'frag_02_c00001', 'frag_16_c00001']",47013.311651960285,37013.311651960285
139,"['frag_01_c00001', 'frag_02_c00001', 'frag_16_c00001']",47013.311651960285,37013.311651960285
140,"['frag_01_c00001', 'frag_02_c00001', 'frag_16_c00001']",47013.311651960285,37013.311651960285
141,"['frag_01_c00001', 'frag_02_c00001', 'frag_16_c00001']",47013.311651960285,37013.311651960285
142,"['frag_10_c00001', 'frag_11_c00001']",37194.32095720048,37013.311651960285
143,"['frag_10_c00001', 'frag_11_c00001']",37194.32095720048,37194.32095720048
144,"['frag_10_c00001', 'frag_11_c00001']",37194.32095720049,37194.32095720048
145,"['frag_10_c00001', 'frag_11_c00001']",37194.32095720049,37194.32095720049
146,"['frag_05_c00001', 'frag_15_c00001']",47272.12369528227,37194.32095720049
147,"['frag_05_c00001', 'frag_15_c00001']",47272.12369528227,37272.12369528227
148,"['frag_05_c00001', 'frag_15_c00001']",47272.12369528227,37272.12369528227
149,"['frag_05_c00001', 'frag_15_c00001']",47272.12369528227,37272.12369528227
150,"['frag_08_c00001', 'frag_12_c00001']",37285.90339977359,37272.12369528227
151,"['frag_08_c00001', 'frag_12_c00001']",37285.90339977359,37285.90339977359
152,"['frag_08_c00001', 'frag_12_c00001']",37285.90339977359,37285.90339977359
153,"['frag_08_c00001', 'frag_12_c00001']",37285.90339977359,37285.90339977359
154,"['frag_10_c00001', 'frag_12_c00001']",37636.62076508866,37285.90339977359
155,"['frag_10_c00001', 'frag_12_c00001']",37636.62076508866,37636.62076508866
156,"['frag_10_c00001', 'frag_12_c00001']",37636.62076508866,37636.62076508866
157,"['frag_10_c00001', 'frag_12_c00001']",37636.62076508866,37636.62076508866
158,"['frag_07_c00001', 'frag_14_c00001']",47819.88979986731,37636.62076508866
159,"['frag_07_c00001', 'frag_14_c00001']",47819.88979986731,37819.88979986731
160,"['frag_07_c00001', 'frag_14_c00001']",47819.88979986733,37819.88979986731
161,"['frag_07_c00001', 'frag_14_c00001']",47819.88979986733,37819.88979986733
162,"['frag_01_c00001', 'frag_04_c00001', 'frag_13_c00001']",37899.831244647816,37819.88979986733
163,"['frag_01_c00001', 'frag_04_c00001', 'frag_13_c00001']",37899.831244647816,37899.831244647816
164,"['frag_01_c00001', 'frag_04_c00001', 'frag_13_c00001']",37899.831244647816,37899.831244647816
165,"['frag_01_c00001', 'frag_04_c00001', 'frag_13_c00001']",37899.831244647816,37899.831244647816
166,"['frag_01_c00001', 'frag_04_c00001', 'frag_13_c00001']",37899.831244647816,37899.831244647816
167,"['frag_01_c00001', 'frag_04_c00001', 'frag_13_c00001']",37899.831244647816,37899.831244647816
168,"['frag_01_c00001', 'frag_04_c00001', 'frag_13_c00001']",37899.831244647816,37899.831244647816
169,"['frag_01_c00001', 'frag_04_c00001', 'frag_13_c00001']",37899.831244647816,37899.831244647816
170,"['frag_02_c00001', 'frag_03_c00001', 'frag_12_c00001']",38210.20194517106,37899.831244647816
171,"['frag_02_c00001', 'frag_03_c00001', 'frag_12_c00001']",38210.20194517106,38210.20194517106
172,"['frag_02_c00001', 'frag_03_c00001', 'frag_12_c00001']",38210.20194517106,38210.20194517106
173,"['frag_02_c00001', 'frag_03_c00001', 'frag_12_c00001']",38210.20194517106,38210.20194517106
174,"['frag_02_c00001', 'frag_03_c00001', 'frag_12_c00001']",38210.20194517106,38210.20194517106
175,"['frag_02_c00001', 'frag_03_c00001', 'frag_12_c00001']",38210.20194517106,38210.20194517106
176,"['frag_02_c00001', 'frag_03_c00001', 'frag_12_c00001']",38210.20194517106,38210.20194517106
177,"['frag_02_c00001', 'frag_03_c00001', 'frag_12_c00001']",38210.20194517106,38210.20194517106
178,"['frag_02_c00001', 'frag_03_c00001', 'frag_11_c00001']",38254.87672332062,38210.20194517106
179,"['frag_02_c00001', 'frag_03_c00001', 'frag_11_c00001']",38254.87672332062,38254.87672332062
180,"['frag_02_c00001', 'frag_03_c00001', 'frag_11_c00001']",38254.87672332062,38254.87672332062
181,"['frag_02_c00001', 'frag_03_c00001', 'frag_11_c00001']",38254.87672332062,38254.87672332062
182,"['frag_02_c00001', 'frag_03_c00001', 'frag_11_c00001']",38254.87672332062,38254.87672332062
183,"['frag_02_c00001', 'frag_03_c00001', 'frag_11_c00001']",38254.87672332062,38254.87672332062
184,"['frag_02_c00001', 'frag_03_c00001', 'frag_11_c00001']",38254.87672332062,38254.87672332062
185,"['frag_02_c00001', 'frag_03_c00001', 'frag_11_c00001']",38254.87672332062,38254.87672332062
186,"['frag_02_c00001', 'frag_03_c00001', 'frag_13_c00001']",48501.35748593418,38254.87672332062
187,"['frag_02_c00001', 'frag_03_c00001', 'frag_13_c00001']",48501.35748593418,38501.35748593418
188,"['frag_02_c00001', 'frag_03_c00001', 'frag_13_c00001']",48501.35748593418,38501.35748593418
189,"['frag_02_c00001', 'frag_03_c00001', 'frag_13_c00001']",48501.35748593418,38501.35748593418
190,"['frag_02_c00001', 'frag_03_c00001', 'frag_13_c00001']",48501.35748593418,38501.35748593418
191,"['frag_02_c00001', 'frag_03_c00001', 'frag_13_c00001']",48501.35748593418,38501.35748593418
192,"['frag_02_c00001', 'frag_03_c00001', 'frag_13_c00001']",48501.35748593418,38501.35748593418
193,"['frag_02_c00001', 'frag_03_c00001', 'frag_13_c00001']",48501.35748593418,38501.35748593418
194,"['frag_09_c00001', 'frag_14_c00001']",48721.05215020538,38501.35748593418
195,"['frag_09_c00001', 'frag_14_c00001']",48721.05215020538,38721.05215020538
196,"['frag_09_c00001', 'frag_14_c00001']",48721.05215020538,38721.05215020538
197,"['frag_09_c00001', 'frag_14_c00001']",48721.05215020538,38721.05215020538
198,"['frag_05_c00001', 'frag_16_c00001']",49474.51247441641,38721.05215020538
199,"['frag_05_c00001', 'frag_16_c00001']",49474.51247441641,39474.51247441641
200,"['frag_05_c00001', 'frag_16_c00001']",49474.51247441641,39474.51247441641
201,"['frag_05_c00001', 'frag_16_c00001']",49474.51247441641,39474.51247441641
202,"['frag_02_c00001', 'frag_02_c00001', 'frag_14_c00001']",49848.692185458385,39474.51247441641
203,"['frag_02_c00001', 'frag_02_c00001', 'frag_14_c00001']",49848.692185458385,39848.692185458385
204,"['frag_01_c00001', 'frag_03_c00001', 'frag_15_c00001']",50018.36402447313,39848.692185458385
205,"['frag_01_c00001', 'frag_03_c00001', 'frag_15_c00001']",50018.36402447313,40018.36402447313
206,"['frag_01_c00001', 'frag_03_c00001', 'frag_15_c00001']",50018.36402447314,40018.36402447313
207,"['frag_01_c00001', 'frag_03_c00001', 'frag_15_c00001']",50018.36402447314,40018.36402447314
208,"['frag_01_c00001', 'frag_03_c00001', 'frag_15_c00001']",50018.36402447314,40018.36402447314
209,"['frag_01_c00001', 'frag_03_c00001', 'frag_15_c00001']",50018.36402447314,40018.36402447314
210,"['frag_01_c00001', 'frag_03_c00001', 'frag_15_c00001']",50018.36402447314,40018.36402447314
211,"['frag_01_c00001', 'frag_03_c00001', 'frag_15_c00001']",50018.36402447314,40018.36402447314
212,"['frag_01_c00001', 'frag_04_c00001', 'frag_14_c00001']",41109.39277369303,40018.36402447314
213,"['frag_01_c00001', 'frag_04_c00001', 'frag_14_c00001']",41109.39277369303,41109.39277369303
214,"['frag_01_c00001', 'frag_04_c00001', 'frag_14_c00001']",41109.39277369303,41109.39277369303
215,"['frag_01_c00001', 'frag_04_c00001', 'frag_14_c00001']",41109.39277369303,41109.39277369303
216,"['frag_01_c00001', 'frag_04_c00001', 'frag_14_c00001']",41109.39277369303,41109.39277369303
217,"['frag_01_c00001', 'frag_04_c00001', 'frag_14_c00001']",41109.39277369303,41109.39277369303
218,"['frag_01_c00001', 'frag_04_c00001', 'frag_14_c00001']",41109.39277369303,41109.39277369303
219,"['frag_01_c00001', 'frag_04_c00001', 'frag_14_c00001']",41109.39277369303,41109.39277369303
220,"['frag_10_c00001', 'frag_14_c00001']",51141.40227017752,41109.39277369303
221,"['frag_10_c00001', 'frag_14_c00001']",51141.40227017752,41141.40227017752
222,"['frag_10_c00001', 'frag_14_c00001']",51141.40227017753,41141.40227017752
223,"['frag_10_c00001', 'frag_14_c00001']",51141.40227017753,41141.40227017753
224,"['frag_01_c00001', 'frag_03_c00001', 'frag_16_c00001']",51265.384057288036,41141.40227017753
225,"['frag_01_c00001', 'frag_03_c00001', 'frag_16_c00001']",51265.384057288036,41265.384057288036
226,"['frag_01_c00001', 'frag_03_c00001', 'frag_16_c00001']",51265.384057288036,41265.384057288036
227,"['frag_01_c00001', 'frag_03_c00001', 'frag_16_c00001']",51265.384057288036,41265.384057288036
228,"['frag_01_c00001', 'frag_03_c00001', 'frag_16_c00001']",51265.384057288036,41265.384057288036
229,"['frag_01_c00001', 'frag_03_c00001', 'frag_16_c00001']",51265.384057288036,41265.384057288036
230,"['frag_01_c00001', 'frag_03_c00001', 'frag_16_c00001']",51265.384057288036,41265.384057288036
231,"['frag_01_c00001', 'frag_03_c00001', 'frag_16_c00001']",51265.384057288036,41265.384057288036
232,"['frag_08_c00001', 'frag_14_c00001']",51331.47100217414,41265.384057288036
233,"['frag_08_c00001', 'frag_14_c00001']",51331.47100217414,41331.47100217414
234,"['frag_08_c00001', 'frag_14_c00001']",51331.47100217414,41331.47100217414
235,"['frag_08_c00001', 'frag_14_c00001']",51331.47100217414,41331.47100217414
236,"['frag_03_c00001', 'frag_03_c00001', 'frag_12_c00001']",42168.62580055459,41331.47100217414
237,"['frag_03_c00001', 'frag_03_c00001', 'frag_12_c00001']",42168.62580055459,42168.62580055459
238,"['frag_03_c00001', 'frag_03_c00001', 'frag_11_c00001']",42214.31424242675,42168.62580055459
239,"['frag_03_c00001', 'frag_03_c00001', 'frag_11_c00001']",42214.31424242675,42214.31424242675
240,"['frag_01_c00001', 'frag_07_c00001', 'frag_07_c00001']",42269.34065376357,42214.31424242675
241,"['frag_01_c00001', 'frag_07_c00001', 'frag_07_c00001']",42269.34065376357,42269.34065376357
242,"['frag_03_c00001', 'frag_03_c00001', 'frag_13_c00001']",52315.5492559654,42269.34065376357
243,"['frag_03_c00001', 'frag_03_c00001', 'frag_13_c00001']",52315.5492559654,42315.5492559654
244,"['frag_02_c00001', 'frag_03_c00001', 'frag_14_c00001']",52998.12577180408,42315.5492559654
245,"['frag_02_c00001', 'frag_03_c00001', 'frag_14_c00001']",52998.12577180408,42998.12577180408
246,"['frag_02_c00001', 'frag_03_c00001', 'frag_14_c00001']",52998.12577180408,42998.12577180408
247,"['frag_02_c00001', 'frag_03_c00001', 'frag_14_c00001']",52998.12577180408,42998.12577180408
248,"['frag_02_c00001', 'frag_03_c00001', 'frag_14_c00001']",52998.12577180408,42998.12577180408
249,"['frag_02_c00001', 'frag_03_c00001', 'frag_14_c00001']",52998.12577180408,42998.12577180408
250,"['frag_02_c00001', 'frag_03_c00001', 'frag_14_c00001']",52998.12577180408,42998.12577180408
251,"['frag_02_c00001', 'frag_03_c00001', 'frag_14_c00001']",52998.12577180408,42998.12577180408
252,"['frag_02_c00001', 'frag_04_c00001', 'frag_12_c00001']",43076.47934080773,42998.12577180408
253,"['frag_02_c00001', 'frag_04_c00001', 'frag_12_c00001']",43076.47934080773,43076.47934080773
254,"['frag_02_c00001', 'frag_04_c00001', 'frag_12_c00001']",43076.47934080773,43076.47934080773
255,"['frag_02_c00001', 'frag_04_c00001', 'frag_12_c00001']",43076.47934080773,43076.47934080773
256,"['frag_02_c00001', 'frag_04_c00001', 'frag_12_c00001']",43076.47934080773,43076.47934080773
257,"['frag_02_c00001', 'frag_04_c00001', 'frag_12_c00001']",43076.47934080773,43076.47934080773
258,"['frag_02_c00001', 'frag_04_c00001', 'frag_12_c00001']",43076.47934080773,43076.47934080773
259,"['frag_02_c00001', 'frag_04_c00001', 'frag_12_c00001']",43076.47934080773,43076.47934080773
260,"['frag_02_c00001', 'frag_04_c00001', 'frag_11_c00001']",43122.32245760106,43076.47934080773
261,"['frag_02_c00001', 'frag_04_c00001', 'frag_11_c00001']",43122.32245760106,43122.32245760106
262,"['frag_02_c00001', 'frag_04_c00001', 'frag_11_c00001']",43122.32245760106,43122.32245760106
263,"['frag_02_c00001', 'frag_04_c00001', 'frag_11_c00001']",43122.32245760106,43122.32245760106
264,"['frag_02_c00001', 'frag_04_c00001', 'frag_11_c00001']",43122.322457601076,43122.32245760106
265,"['frag_02_c00001', 'frag_04_c00001', 'frag_11_c00001']",43122.322457601076,43122.322457601076
266,"['frag_02_c00001', 'frag_04_c00001', 'frag_11_c00001']",43122.322457601076,43122.322457601076
267,"['frag_02_c00001', 'frag_04_c00001', 'frag_11_c00001']",43122.322457601076,43122.322457601076
268,"['frag_02_c00001', 'frag_06_c00001', 'frag_07_c00001']",43151.80017029109,43122.322457601076
